#step	w	sigma	tau	rho	neglogP	neglogP_Nterms	neglogP_Kterms
92	9.240609e-01	3.775073e-02	3.927128e-02	5.800000e-01	-3.105011e+03	-2.793456e+03	-3.115555e+02
93	9.208502e-01	3.768509e-02	3.927128e-02	5.700000e-01	-3.105047e+03	-2.793506e+03	-3.115411e+02
94	8.849255e-01	3.694268e-02	3.927128e-02	5.600000e-01	-3.105033e+03	-2.793657e+03	-3.113757e+02
95	9.263728e-01	3.779793e-02	3.927128e-02	5.600000e-01	-3.104982e+03	-2.793416e+03	-3.115658e+02
96	9.182034e-01	3.763090e-02	3.927128e-02	5.500000e-01	-3.105073e+03	-2.793543e+03	-3.115292e+02
97	9.327780e-01	3.763090e-02	3.896327e-02	5.600000e-01	-3.105623e+03	-2.793478e+03	-3.121456e+02
98	9.913207e-01	3.879382e-02	3.896327e-02	5.500000e-01	-3.104250e+03	-2.791851e+03	-3.123989e+02
99	1.030154e+00	3.879382e-02	3.822183e-02	5.500000e-01	-3.105591e+03	-2.791690e+03	-3.139018e+02
100	1.048515e+00	3.879382e-02	3.788569e-02	5.600000e-01	-3.106203e+03	-2.791614e+03	-3.145887e+02
101	1.086577e+00	3.879382e-02	3.721622e-02	5.600000e-01	-3.107425e+03	-2.791458e+03	-3.159669e+02
102	1.095425e+00	3.895145e-02	3.721622e-02	5.700000e-01	-3.107114e+03	-2.791112e+03	-3.160028e+02
103	1.106410e+00	3.914625e-02	3.721622e-02	5.700000e-01	-3.106691e+03	-2.790644e+03	-3.160468e+02
104	1.107236e+00	3.916087e-02	3.721622e-02	5.800000e-01	-3.106657e+03	-2.790607e+03	-3.160501e+02
105	1.132485e+00	3.916087e-02	3.679901e-02	5.900000e-01	-3.107425e+03	-2.790507e+03	-3.169173e+02
106	1.123421e+00	3.900385e-02	3.679901e-02	6.000000e-01	-3.107771e+03	-2.790890e+03	-3.168813e+02
107	1.120799e+00	3.900385e-02	3.684204e-02	5.900000e-01	-3.107692e+03	-2.790900e+03	-3.167917e+02
108	1.113966e+00	3.900385e-02	3.695485e-02	6.000000e-01	-3.107485e+03	-2.790928e+03	-3.165570e+02
109	1.129915e+00	3.900385e-02	3.669311e-02	5.900000e-01	-3.107966e+03	-2.790864e+03	-3.171021e+02
110	1.139409e+00	3.900385e-02	3.653993e-02	5.800000e-01	-3.108248e+03	-2.790826e+03	-3.174222e+02
111	1.182185e+00	3.900385e-02	3.587276e-02	5.900000e-01	-3.109481e+03	-2.790657e+03	-3.188243e+02
112	1.209574e+00	3.900385e-02	3.546428e-02	6.000000e-01	-3.110239e+03	-2.790549e+03	-3.196895e+02
113	1.206123e+00	3.900385e-02	3.551499e-02	5.900000e-01	-3.110144e+03	-2.790563e+03	-3.195818e+02
114	1.254489e+00	3.900385e-02	3.482363e-02	5.800000e-01	-3.111430e+03	-2.790374e+03	-3.210565e+02
115	1.244644e+00	3.885050e-02	3.482363e-02	5.800000e-01	-3.111738e+03	-2.790720e+03	-3.210181e+02
116	1.272863e+00	3.885050e-02	3.443545e-02	5.700000e-01	-3.112461e+03	-2.790609e+03	-3.218517e+02
117	1.266025e+00	3.874600e-02	3.443545e-02	5.700000e-01	-3.112654e+03	-2.790829e+03	-3.218250e+02
118	1.293678e+00	3.874600e-02	3.406542e-02	5.700000e-01	-3.113344e+03	-2.790721e+03	-3.226233e+02
119	1.245327e+00	3.874600e-02	3.472043e-02	5.700000e-01	-3.112123e+03	-2.790910e+03	-3.212129e+02
120	1.180012e+00	3.771624e-02	3.472043e-02	5.800000e-01	-3.113310e+03	-2.792363e+03	-3.209467e+02
121	1.136167e+00	3.700890e-02	3.472043e-02	5.800000e-01	-3.113303e+03	-2.792545e+03	-3.207573e+02
122	1.160435e+00	3.700890e-02	3.435546e-02	5.700000e-01	-3.113973e+03	-2.792438e+03	-3.215346e+02
123	1.201528e+00	3.700890e-02	3.376286e-02	5.700000e-01	-3.115063e+03	-2.792258e+03	-3.228045e+02
124	1.197442e+00	3.694591e-02	3.376286e-02	5.700000e-01	-3.115026e+03	-2.792239e+03	-3.227866e+02
